Name,Business,Location,Type,Loc in Market,Full Address (probably),Latitude,Longitude
Champ's Deli - Freda's Small Batch Soups,Market Vendor,In Detroit,Dine,,", Detroit, MI 48207",,
Chris Engel's Greenhouse,Market Vendor,In Detroit,Flowers,,", Detroit, MI 48207",,
City Commons,Market Vendor,In Detroit,Produce,,", Detroit, MI 48207",,
Clark Farms,Market Vendor,Unspecified,Unspecified,,", Detroit, MI 48207",,
Cochocki Greenhouse,Market Vendor,In Michigan,Unspecified,,", Detroit, MI 48207",,
Contemplating Clay,Market Vendor,In Michigan,Art,,", Detroit, MI 48207",,
Cook's Condiments,Market Vendor,In Michigan,Other,,", Detroit, MI 48207",,
Cool Cloud Productions,Market Vendor,In Michigan,Art,,", Detroit, MI 48207",,
Country Valley Farm,Market Vendor,In Michigan,Dine,,", Detroit, MI 48207",,
Crafting Simple,Market Vendor,Unspecified,Art,,", Detroit, MI 48207",,
Crusty Digglers Pizza,Market Vendor,In Michigan,Dine,,", Detroit, MI 48207",,
Cutfresh,Market Vendor,Unspecified,Dine,,", Detroit, MI 48207",,
D&J Produce,Market Vendor,Unspecified,Dine,,", Detroit, MI 48207",,
Daily Karmas,Market Vendor,Unspecified,Dine,,", Detroit, MI 48207",,
Dancy's Fancy Butter,Market Vendor,In Michigan,Baked Goods,,", Detroit, MI 48207",,
Darrell's Belts,Market Vendor,Unspecified,Dine,,", Detroit, MI 48207",,
DC Farms & Greenhouse,Market Vendor,Other,Dine,,", Detroit, MI 48207",,
De Suave LLC - Detroit Bracelet,Market Vendor,In Michigan,Unspecified,,", Detroit, MI 48207",,
Degoey's Nursery & Flowers,Market Vendor,Other,Flowers,,", Detroit, MI 48207",,
Delisi Greenhouse,Market Vendor,In Michigan,Unspecified,,", Detroit, MI 48207",,
Detroit Bold,Market Vendor,In Michigan,Baked Goods,,", Detroit, MI 48207",,
Detroit Carved,Market Vendor,In Detroit,Art,,", Detroit, MI 48207",,
Detroit Lemonade Company,Market Vendor,In Detroit,Dine,,", Detroit, MI 48207",,
Detroitorant,Market Vendor,In Detroit,Unspecified,,", Detroit, MI 48207",,
Diaz Greenhouse,Market Vendor,In Michigan,Unspecified,,", Detroit, MI 48207",,
Dominic Palazzolo And Sons,Market Vendor,Unspecified,Dine,,", Detroit, MI 48207",,
Eight Claws Crab Seafood Boil,Market Vendor,In Michigan,Dine,,", Detroit, MI 48207",,
Emilia's Custom Creations LLC,Market Vendor,In Detroit,Unspecified,,", Detroit, MI 48207",,
Epyon Royal. LLC,Market Vendor,In Detroit,Unspecified,,", Detroit, MI 48207",,
Essentialolgy,Market Vendor,In Detroit,Unspecified,,", Detroit, MI 48207",,
Faust Haus Roasting Company,Market Vendor,In Detroit,Dine,,", Detroit, MI 48207",,
Flavorful Creations LLC,Market Vendor,In Detroit,Baked Goods,,", Detroit, MI 48207",,
Flourish,Market Vendor,Unspecified,Dine,,", Detroit, MI 48207",,
Flying Otter,Market Vendor,In Michigan,Dine,,", Detroit, MI 48207",,
For the Love of Cheesecake,Market Vendor,In Detroit,Unspecified,,", Detroit, MI 48207",,
Frank Palazzolo,Market Vendor,Unspecified,Produce,,", Detroit, MI 48207",,
Freshflixtv Studios,Market Vendor,In Michigan,Unspecified,,", Detroit, MI 48207",,
